hero_id,hero_pickrate_average,hero_winrate_average,hero_pickrate_up_to_crusader,hero_winrate_up_to_crusader,hero_pickrate_archon,hero_winrate_archon,hero_pickrate_legend,hero_winrate_legend,hero_pickrate_ancient,hero_winrate_ancient,hero_pickrate_divine_immortal,hero_winrate_divine_immortal
1,16.02412,52.4616,17.3848,52.5776,16.6039,52.8426,15.8782,52.9665,15.5662,52.474,14.6875,51.4473
2,16.91594,53.10886,19.6887,54.8182,18.7621,53.5622,17.3021,52.8766,15.9805,52.7065,12.8463,51.5808
3,5.87982,51.94334,3.9985,49.4911,4.5054,51.0522,5.293,52.6328,6.3141,52.5926,9.2881,53.948
4,3.80842,50.94282,4.4136,50.1021,3.9287,51.2946,3.9075,51.1232,3.5966,51.6534,3.1957,50.5408
5,13.0786,49.0729,15.5281,50.7196,13.2413,49.5248,12.3278,48.6072,11.9162,48.0231,12.3796,48.4898
6,14.60608,52.55188,17.8826,53.7073,16.7559,53.8626,15.1817,52.9624,13.5732,52.2197,9.637,50.0074
7,11.20572,50.5111,11.8216,48.7175,11.172,49.9146,11.3541,50.4578,11.3154,51.3119,10.3655,52.1537
8,10.64404,49.9061,12.6831,49.863,12.7061,50.5533,11.4709,50.4456,9.8998,49.6697,6.4603,48.9989
9,6.82014,48.39164,5.5519,48.4543,6.9055,48.6046,7.1312,48.6462,7.1329,48.2694,7.3792,47.9837
10,11.38474,47.2438,10.3827,47.777,9.915,47.1094,10.4256,46.7869,11.5587,46.8466,14.6417,47.6991
11,11.51064,48.05194,14.9216,48.788,12.7478,48.5954,11.4727,48.0059,10.2063,47.8424,8.2048,47.028
12,6.29176,51.43362,8.2664,52.6714,6.9884,52.1576,6.0132,51.5664,5.5514,51.3874,4.6394,49.3853
13,9.74936,47.3517,6.5611,46.3063,8.804,46.922,10.385,47.6044,11.2621,47.8001,11.7346,48.1257
14,28.75738,50.21018,29.9327,50.9863,29.5188,50.5207,28.8095,50.2359,29.4179,49.8586,26.108,49.4494
15,9.05896,48.62182,5.9363,49.0295,7.189,49.0047,8.7829,48.5205,10.1515,48.2652,13.2351,48.2892
16,4.88192,50.95546,6.4948,54.6781,5.3926,51.5097,4.8934,50.6066,4.4311,49.735,3.1977,48.2479
17,5.4349,47.78446,4.9015,46.6715,5.2682,47.6009,5.5353,48.1612,5.6554,48.2228,5.8141,48.2659
18,4.32792,45.85464,4.5039,46.0517,4.0074,46.0153,4.0215,45.9066,4.0609,45.8067,5.0459,45.4929
19,9.89154,47.74356,5.4526,46.1091,6.5263,46.7106,8.6267,47.5647,10.9173,48.6844,17.9348,49.649
20,12.84884,51.90122,10.6644,52.3131,12.4277,52.3532,13.4642,51.9399,14.1826,52.1854,13.5053,50.7145
21,13.00078,47.6361,11.0469,46.6071,11.8661,46.7467,12.851,47.4967,13.7896,48.2511,15.4503,49.0789
22,16.71108,53.66656,15.4346,53.7431,16.8809,54.0005,17.2396,53.6451,17.1321,53.9591,16.8682,52.985
23,9.50872,52.0656,6.4996,51.3406,8.5947,52.3047,10.2887,52.6946,10.9511,52.5157,11.2095,51.4724
25,10.24564,46.39024,11.4907,45.6527,10.5503,46.2435,10.2789,46.5483,9.7826,46.2561,9.1257,47.2506
26,20.9563,47.0767,24.6348,47.1795,23.4615,46.9543,21.6983,47.0916,19.7832,46.9679,15.2037,47.1902
27,13.17598,52.55004,17.8999,51.9698,14.1847,52.3462,12.4544,52.5923,11.3997,52.769,9.9412,53.0729
28,11.73544,52.98886,12.6517,52.3672,11.7871,52.8753,11.6133,53.2961,11.6,53.388,11.0251,53.0177
29,4.68762,50.13278,4.5797,50.7395,5.1693,50.79,4.9919,50.3753,4.6644,49.6377,4.0328,49.1214
30,16.38288,51.27442,22.2917,53.6818,21.0884,52.6532,17.5479,51.2984,13.6035,50.1629,7.3829,48.5758
31,9.34518,51.01606,9.0304,52.3396,9.8147,51.957,10.1739,51.0214,9.9665,50.4117,7.7404,49.3506
32,4.74588,51.94712,7.6286,53.29,5.4816,52.7637,4.3771,51.8716,3.6804,51.4786,2.5617,50.3317
33,3.39734,50.0974,4.2029,48.2731,3.3109,48.7755,2.9578,49.4422,2.9398,52.0788,3.5753,51.9174
34,3.85436,51.2566,4.6461,48.0978,3.8308,51.1219,3.6061,52.1292,3.7048,53.0119,3.484,51.9222
35,17.2714,49.08532,20.9426,49.9834,20.6179,49.9431,18.3638,49.5366,15.6994,49.011,10.7333,46.9525
36,8.91778,50.74084,10.808,53.2642,10.6892,51.8717,9.7159,51.1843,8.2786,49.4327,5.0972,47.9513
37,6.61262,51.21052,6.9443,53.6267,8.1125,52.8743,7.5107,51.7822,6.4429,50.1754,4.0527,47.594
38,1.67312,46.33352,0.9444,45.7045,1.1014,45.3516,1.3431,45.1705,1.7096,46.4638,3.2671,48.9772
39,6.0936,46.97886,4.9042,45.5863,6.193,46.5802,6.6102,47.1237,6.6371,47.8245,6.1235,47.7796
40,9.82532,52.77846,8.649,52.8468,9.707,52.9006,9.9148,52.9277,10.0988,52.6933,10.757,52.5239
41,11.86552,47.1103,12.4176,45.3044,11.9596,46.4667,11.5004,47.088,11.2741,47.4862,12.1759,49.2062
42,7.53066,51.45366,10.7511,54.0454,10.059,53.0596,7.9632,51.2826,5.818,50.9033,3.062,47.9774
43,4.23926,52.19458,3.7633,52.2263,3.9495,53.144,4.1494,52.7008,4.3962,51.4026,4.9379,51.4992
44,14.86794,47.88934,19.756,49.4567,17.4421,48.2994,15.0814,47.5664,13.0253,47.1738,9.0349,46.9504
45,6.25326,49.60326,6.0648,47.8766,5.5122,48.7211,5.7961,50.0175,6.2634,50.2855,7.6298,51.1156
46,5.62052,46.22706,5.7444,43.3205,4.8966,44.9328,5.1101,46.5395,5.4228,47.3009,6.9287,49.0416
47,7.4727,51.73172,9.5126,51.1438,8.3188,52.1059,7.3058,52.1458,6.6106,51.7576,5.6157,51.5055
